epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,1210.33,0.43957,0.56614,0.38083,0.8655,0,0.95421,0.90216,0.95428,0.82611,0.94936,0.90256,0.95359,0.76218,0.43375,0.64041,0.4077,0.86175,0,0.00073025,0.00073025,0.00073025
65,1228.71,0.47588,0.59641,0.39726,0.87703,0,0.95582,0.8967,0.94854,0.82444,0.95422,0.89515,0.94652,0.76981,0.44319,0.63279,0.40873,0.86271,0,0.000722,0.000722,0.000722
66,1247.22,0.44129,0.57643,0.37753,0.86251,0,0.95077,0.88451,0.94014,0.81715,0.95026,0.88288,0.93963,0.75075,0.44618,0.61962,0.42969,0.86267,0,0.00071375,0.00071375,0.00071375
67,1265.72,0.44412,0.56966,0.38556,0.86824,0,0.90964,0.89918,0.93393,0.81386,0.90375,0.89363,0.93328,0.74629,0.43588,0.63886,0.42957,0.86229,0,0.0007055,0.0007055,0.0007055
68,1284.2,0.43807,0.5665,0.37792,0.86247,0,0.90421,0.91045,0.93935,0.81225,0.8932,0.89971,0.93134,0.75187,0.4382,0.64861,0.42367,0.8623,0,0.00069725,0.00069725,0.00069725
69,1302.7,0.43288,0.56739,0.37458,0.86138,0,0.90657,0.90574,0.93608,0.81319,0.90084,0.90067,0.93463,0.74975,0.44431,0.62505,0.42392,0.86169,0,0.000689,0.000689,0.000689
70,1321.44,0.4515,0.56571,0.38455,0.86706,0,0.94673,0.87112,0.94026,0.81836,0.94249,0.88306,0.9432,0.74237,0.43556,0.5969,0.41696,0.85366,0,0.00068075,0.00068075,0.00068075
71,1340.09,0.45291,0.57996,0.37099,0.86429,0,0.93338,0.88965,0.9392,0.80825,0.93929,0.89458,0.94188,0.7399,0.45358,0.60946,0.43454,0.8626,0,0.0006725,0.0006725,0.0006725
72,1358.64,0.45475,0.56851,0.37906,0.86723,0,0.94346,0.9069,0.94152,0.82353,0.9427,0.90613,0.94075,0.7488,0.41665,0.6636,0.42163,0.85458,0,0.00066425,0.00066425,0.00066425
73,1377.16,0.44696,0.56576,0.37836,0.85746,0,0.91344,0.92649,0.93525,0.82158,0.91238,0.92601,0.93451,0.75225,0.42143,0.61838,0.41726,0.85479,0,0.000656,0.000656,0.000656
74,1395.6,0.40929,0.53576,0.36208,0.8572,0,0.95692,0.89542,0.93491,0.82239,0.96101,0.90152,0.94136,0.7517,0.4205,0.62852,0.40537,0.85471,0,0.00064775,0.00064775,0.00064775
75,1414.04,0.43409,0.55512,0.36521,0.86272,0,0.92742,0.91261,0.93179,0.81346,0.92661,0.91183,0.92961,0.73816,0.43708,0.68269,0.41958,0.8657,0,0.0006395,0.0006395,0.0006395
76,1432.48,0.42569,0.54429,0.36621,0.85998,0,0.91605,0.9,0.93545,0.80372,0.92333,0.87538,0.93275,0.73602,0.4348,0.72273,0.42378,0.8671,0,0.00063125,0.00063125,0.00063125
77,1451,0.42641,0.5288,0.36558,0.86214,0,0.91398,0.90617,0.93664,0.81308,0.9138,0.90645,0.94616,0.74465,0.41657,0.68932,0.41903,0.85481,0,0.000623,0.000623,0.000623
78,1469.47,0.43759,0.56174,0.36882,0.86801,0,0.93382,0.89512,0.94648,0.81555,0.93346,0.89469,0.94958,0.74985,0.42225,0.66472,0.40619,0.855,0,0.00061475,0.00061475,0.00061475
79,1487.88,0.42527,0.54892,0.35466,0.85386,0,0.92957,0.88791,0.93861,0.81124,0.89466,0.91702,0.9405,0.75238,0.41402,0.60943,0.40081,0.85157,0,0.0006065,0.0006065,0.0006065
80,1506.23,0.42329,0.5537,0.35471,0.85878,0,0.96261,0.86647,0.93549,0.82114,0.95407,0.86341,0.94187,0.75923,0.41963,0.60015,0.40318,0.85343,0,0.00059825,0.00059825,0.00059825
81,1524.79,0.43305,0.55455,0.35976,0.85164,0,0.95542,0.88043,0.94241,0.82604,0.94446,0.87001,0.94539,0.76567,0.41588,0.61383,0.39202,0.8559,0,0.00059,0.00059,0.00059
82,1543.19,0.43064,0.54401,0.35547,0.85609,0,0.91336,0.88702,0.94368,0.82426,0.89052,0.91288,0.9441,0.76551,0.41883,0.58865,0.39345,0.85193,0,0.00058175,0.00058175,0.00058175
